Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Венгринович,Олена,Олександрівна,Жінка,1944-10-17,Електротехнік,хутір Сновськ,"узвіз Павлова, буд. 3 кв. 3, Костопіль, 99417",+380 26 788-37-65,qtychyna@example.com
Валенко,Макар,Миколайович,Чоловік,1970-01-16,Програміст,місто Херсон,"шосе Дунаєвського 3-й, буд. 6 кв. 04, Дружківка, 26293",+380 (16) 317-68-44,anzhela78@example.com
Твердохліб,Орест,Іванович,Чоловік,1960-02-24,Фотограф,селище Токмак,"сквер Трамвайна, буд. 72 кв. 051, Шпола, 20871",+380 42 604 21 57,jmedvedenko@example.net
Козак,Альберт,Дмитрович,Чоловік,2006-11-27,Медик,селище Лебедин,"набережна Гонтаренко, буд. 97, Буринь, 20037",522 24 79,handriiovych@example.com
Гречко,Валентина,Василівна,Жінка,1957-08-25,Інженер,місто Мерефа,"провулок Водопровідний 2-й, буд. 3 кв. 306, Бровари, 10902",043 925-69-98,ziurchuk@example.org
Тимчук,Валерій,Петрович,Чоловік,1956-11-07,Мовознавець,селище Радехів,"парк 2-га Суворовська, буд. 9, Хирів, 69131",161-85-65,pavlenkopetro@example.net
Сиротенко,Емілія,Романівна,Жінка,1957-06-09,Фотограф,село Дрогобич,"площа Лінія 43-тя, буд. 29, Вознесенськ, 35762",083 884 12 85,venedyktizhak@example.com
Короленко,Зорян,Миколайович,Чоловік,1952-08-20,Фермер,селище Золоте,"набережна Людмили Гінзбург, буд. 741 кв. 50, Батурин, 35574",000 024-34-54,dievtushenko@example.com
Гайда,Марта,Романівна,Жінка,1981-01-19,Біолог,місто Костянтинівка,"провулок Глазунова 1-й, буд. 6, Лебедин, 84307",027 603 53 43,iaroslavbandura@example.net
Яремко,Хома,Євгенович,Чоловік,1973-03-06,Ґрунтознавець,хутір Новояворівськ,"площа Восьмого березня узвіз, буд. 39 кв. 50, Нове Давидково, 40487",492-58-26,anastasiialupii@example.net
Піддубна,Аніта,Сергіївна,Жінка,1984-05-11,Живописець,селище Нікополь,"проспект Виїзна, буд. 3, Решетилівка, 61605",+380 15 380-96-63,iarema00@example.com
Засенко,Тарас,Євгенович,Чоловік,2006-08-05,Менеджер,місто Чигирин,"сквер Слобідська, буд. 23, Феодосія, 21908",087 168-12-42,nazarokhrimenko@example.com
Ткаченко,Любов,Степанівна,Жінка,1990-08-28,Продюсер,село Лисичанськ,"узвіз Лінія 46-та, буд. 479, Ніжин, 75330",017 843-78-03,liubov65@example.com
Петрик,Петро,Романович,Чоловік,1983-05-18,Прокурор,село Ананьїв,"сквер Сінна, буд. 25, Заставна, 08522",+380 67 173 14 47,vasylechkoheorhii@example.com
Бакуменко,Богданна,Григорівна,Жінка,1957-11-01,Випробувач,хутір Ізяслав,"парк Дукова, буд. 998 кв. 0, Макіївка, 21794",092 541-91-04,xchmil@example.com
Скорик,Одарка,Борисівна,Жінка,1991-10-31,Електротехнік,селище Володимир-Волинський,"сквер Вузький, буд. 1 кв. 1, Калинівка , 05662",060 293-60-44,kaverchenko@example.org
